Title,Year/Crew,Rating,Link
140 Unforgiven (1992),"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.158250510036387,https://www.imdb.com/title/tt0105695/
141 The Sixth Sense (1999),"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.154843075523962,https://www.imdb.com/title/tt0167404/
142 Shutter Island (2010),"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.153958386773011,https://www.imdb.com/title/tt1130884/
143 A Beautiful Mind (2001),"Ron Howard (dir.), Russell Crowe, Ed Harris",8.150660747471381,https://www.imdb.com/title/tt0268978/
144 Jurassic Park (1993),"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.14983165918224,https://www.imdb.com/title/tt0107290/
145 Yojimbo (1961),"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.14705000169228,https://www.imdb.com/title/tt0055630/
146 The Treasure of the Sierra Madre (1948),"John Huston (dir.), Humphrey Bogart, Walter Huston",8.146480862380352,https://www.imdb.com/title/tt0040897/
147 Monty Python and the Holy Grail (1975),"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.144978752545661,https://www.imdb.com/title/tt0071853/
148 No Country for Old Men (2007),"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.140562934549477,https://www.imdb.com/title/tt0477348/
149 The Great Escape (1963),"John Sturges (dir.), Steve McQueen, James Garner",8.139370740677851,https://www.imdb.com/title/tt0057115/
150 Kill Bill (2003),"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.13916370446155,https://www.imdb.com/title/tt0266697/
151 John Wick: Chapter 4 (2023),"Chad Stahelski (dir.), Keanu Reeves, Laurence Fishburne",8.13770059539485,https://www.imdb.com/title/tt10366206/
152 Rashomon (1950),"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.137230352771137,https://www.imdb.com/title/tt0042876/
153 The Thing (1982),"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.134404215437877,https://www.imdb.com/title/tt0084787/
154 Spider-Man: No Way Home (2021),"Jon Watts (dir.), Tom Holland, Zendaya",8.133021056601036,https://www.imdb.com/title/tt10872600/
155 Finding Nemo (2003),"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131248175361417,https://www.imdb.com/title/tt0266543/
156 The Elephant Man (1980),"David Lynch (dir.), Anthony Hopkins, John Hurt",8.126626018506071,https://www.imdb.com/title/tt0080678/
157 Chinatown (1974),"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.125079048449303,https://www.imdb.com/title/tt0071315/
158 Raging Bull (1980),"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.122435624142046,https://www.imdb.com/title/tt0081398/
159 V for Vendetta (2005),"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.122190753373703,https://www.imdb.com/title/tt0434409/
160 Gejaagd door de wind (1939),"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.121226812210837,https://www.imdb.com/title/tt0031381/
"161 Lock, Stock and Two Smoking Barrels (1998)","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.11978168752086,https://www.imdb.com/title/tt0120735/
162 Dial M for Murder (1954),"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.119617144062396,https://www.imdb.com/title/tt0046912/
163 Binnenstebuiten (2015),"Pete Docter (dir.), Amy Poehler, Bill Hader",8.119422619459787,https://www.imdb.com/title/tt2096673/
164 El secreto de sus ojos (2009),"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.117906897373036,https://www.imdb.com/title/tt1305806/
165 Howl's Moving Castle (2004),"Hayao Miyazaki (dir.), Chieko Baisho, Takuya Kimura",8.117538765644635,https://www.imdb.com/title/tt0347149/
"166 Three Billboards Outside Ebbing, Missouri (2017)","Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111295651599763,https://www.imdb.com/title/tt5027774/
167 Trainspotting (1996),"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.110190930052939,https://www.imdb.com/title/tt0117951/
168 The Bridge on the River Kwai (1957),"David Lean (dir.), William Holden, Alec Guinness",8.109977420326253,https://www.imdb.com/title/tt0050212/
169 Prisoners (2013),"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.10738970359779,https://www.imdb.com/title/tt1392214/
170 Warrior (2011),"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.102404919276168,https://www.imdb.com/title/tt1291584/
171 Fargo (1996),"Joel Coen (dir.), William H. Macy, Frances McDormand",8.102338444430613,https://www.imdb.com/title/tt0116282/
172 Gran Torino (2008),"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.100007920057879,https://www.imdb.com/title/tt1205489/
173 My Neighbor Totoro (1988),"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.09188412949849,https://www.imdb.com/title/tt0096283/
174 Catch Me If You Can (2002),"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.091848154359319,https://www.imdb.com/title/tt0264464/
175 Million Dollar Baby (2004),"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.088514514069463,https://www.imdb.com/title/tt0405159/
176 Bacheha-Ye aseman (1997),"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.086330201145769,https://www.imdb.com/title/tt0118849/
177 Blade Runner (1982),"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.084567458401258,https://www.imdb.com/title/tt0083658/
178 The Gold Rush (1925),"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.084106905893728,https://www.imdb.com/title/tt0015864/
179 Klaus (2019),"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.08226200934132,https://www.imdb.com/title/tt4729430/
180 Harry Potter and the Deathly Hallows: Part 2 (2011),"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.081117531787536,https://www.imdb.com/title/tt1201607/
